Title	URL	Assignees	Status	Labels
[MCU] Create dummy ASW for demonstration purposes	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/48	sebas-rodri	Feature Archive	Est. size = 5, Real size = 3, Sprint 7
Check license of 2 .dll files in release .zip file	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/90	wiklam	Feature Archive	Est. size = 3, Real size = 3, Sprint 7
[MCU] Adjust linker-script for bootloader	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/86	ibexq	Feature Archive	Est. size = 5, Real size = 3, Sprint 7
Clarify License Text	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/67	ibexq	Feature Archive	Est. size = 3, Real size = 3, Sprint 6
Review transitive include of e.g. "lib/vxlapi.h" in CAN_Wrapper	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/30	MikeFAU	Feature Archive	Est. size = 3, Real size = 1, Sprint 4
[MCU] Implement Real Bus in CAN Driver	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/31	sebas-rodri	Feature Archive	Est. size = 5, Real size = 8, Sprint 4
[WIN] UDS Tx	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/42	MikeFAU	Feature Archive	Est. size = 5, Real size = 3, Sprint 4
[WIN] UDS messageInterpreter (Rx)	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/41	wiklam	Feature Archive	Est. size = 5, Real size = 3, Sprint 4
Integrate CAN Wrapper with GUI	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/19	PaulRoy1	Feature Archive	Est. size = 3, Real size = 8, Sprint 3
[MCU] Build Process	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/34	ibexq	Feature Archive	Est. size = 3, Real size = 2, Sprint 3
Implement UDS Communication Specification	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/35	MikeFAU	Feature Archive	Est. size = 3, Needs Code Review, Real size = 3, Sprint 3
Document / obtain documentation for relevant part of UDS	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/21	MikeFAU	Feature Archive	Est. size = 3, Needs Code Review, Real size = 5, Sprint 3
[MCU] Create / modify existing project to demonstrate module functionality	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/25	ibexq	Feature Archive	Est. size = 3, Real size = 2, Sprint 3
[GUI] QT App Build process	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/33	wiklam	Feature Archive	Est. size = 3, Real size = 5, Sprint 3
[UI] Implement "Updating in progress" indicator	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/7	wiklam	Feature Archive	Est. size = 2, Real size = 2, Sprint 3
Design a Mockup for ECU Listing UI	https://github.com/amosproj/amos2024ss07-updating-flash-boot-loader/issues/27	wiklam	Feature Archive	Est. size = 3, Real size = 3, Sprint 3
